1554643240.339990928,192.168.0.5,192.168.0.10
1554643240.344007355,192.168.0.10,192.168.0.5
1554643240.347220081,192.168.0.5,192.168.0.10
1554643246.507942899,192.168.0.10,192.168.0.5
1554643246.508176290,192.168.0.5,192.168.0.10
1554643246.551641354,192.168.0.10,192.168.0.5
1554643246.558598850,192.168.0.5,192.168.0.10
1554643246.587535970,192.168.0.10,192.168.0.5
1554643246.590793141,192.168.0.5,192.168.0.10
1554643246.634397591,192.168.0.10,192.168.0.5
1554643246.637686136,192.168.0.5,192.168.0.10
1554643246.650305410,192.168.0.10,192.168.0.5
1554643246.652222152,192.168.0.10,192.168.0.5
1554643246.653865577,192.168.0.5,192.168.0.10
1554643246.653976384,192.168.0.5,192.168.0.10
1554643252.348692973,192.168.0.10,192.168.0.5
1554643252.348900325,192.168.0.5,192.168.0.10
1554643252.354729778,192.168.0.10,192.168.0.5
1554643252.362048520,192.168.0.5,192.168.0.10
1554643252.365068581,192.168.0.10,192.168.0.5
1554643252.368783572,192.168.0.5,192.168.0.10
1554643252.369044712,192.168.0.10,192.168.0.5
1554643252.369778511,192.168.0.10,192.168.0.5
1554643252.371672320,192.168.0.5,192.168.0.10
1554643252.372499713,192.168.0.5,192.168.0.10
1554643252.374239682,192.168.0.10,192.168.0.5
1554643252.377585334,192.168.0.5,192.168.0.10
1554643258.514368438,192.168.0.10,192.168.0.5
1554643258.514601276,192.168.0.5,192.168.0.10
1554643258.554023803,192.168.0.10,192.168.0.5
1554643258.561224370,192.168.0.5,192.168.0.10
1554643258.631416805,192.168.0.10,192.168.0.5
1554643258.634843134,192.168.0.5,192.168.0.10
1554643258.649298427,192.168.0.10,192.168.0.5
1554643258.651728938,192.168.0.10,192.168.0.5
1554643258.652620749,192.168.0.5,192.168.0.10
1554643258.653618686,192.168.0.5,192.168.0.10
1554643258.662996036,192.168.0.10,192.168.0.5
1554643258.666484906,192.168.0.5,192.168.0.10
1554643264.439148259,192.168.0.10,192.168.0.5
1554643264.439344066,192.168.0.5,192.168.0.10
1554643264.443211509,192.168.0.10,192.168.0.5
1554643264.449979270,192.168.0.5,192.168.0.10
1554643264.453081379,192.168.0.10,192.168.0.5
1554643264.456346683,192.168.0.5,192.168.0.10
1554643264.525241334,192.168.0.10,192.168.0.5
1554643264.528405546,192.168.0.5,192.168.0.10
1554643264.582564049,192.168.0.10,192.168.0.5
1554643264.584183282,192.168.0.5,192.168.0.10
1554643264.589723528,192.168.0.10,192.168.0.5
1554643264.593483576,192.168.0.5,192.168.0.10
1554643270.457778283,192.168.0.10,192.168.0.5
1554643270.457996372,192.168.0.5,192.168.0.10
1554643270.460827981,192.168.0.10,192.168.0.5
1554643270.467882663,192.168.0.5,192.168.0.10
1554643270.474177366,192.168.0.10,192.168.0.5
1554643270.477850058,192.168.0.5,192.168.0.10
1554643270.545598601,192.168.0.10,192.168.0.5
1554643270.548987475,192.168.0.5,192.168.0.10
1554643270.600393558,192.168.0.10,192.168.0.5
1554643270.602272792,192.168.0.5,192.168.0.10
1554643270.607500716,192.168.0.10,192.168.0.5
1554643270.611126174,192.168.0.5,192.168.0.10
1554643276.500617417,192.168.0.10,192.168.0.5
1554643276.500900252,192.168.0.5,192.168.0.10
1554643276.504208843,192.168.0.10,192.168.0.5
1554643276.511305067,192.168.0.5,192.168.0.10
1554643276.517117227,192.168.0.10,192.168.0.5
1554643276.520661233,192.168.0.5,192.168.0.10
1554643276.521009064,192.168.0.10,192.168.0.5
1554643276.524051642,192.168.0.5,192.168.0.10
1554643276.525542856,192.168.0.10,192.168.0.5
1554643276.527447770,192.168.0.5,192.168.0.10
1554643276.528186945,192.168.0.10,192.168.0.5
1554643276.531542184,192.168.0.5,192.168.0.10
1554643282.770985603,192.168.0.10,192.168.0.5
1554643282.771178816,192.168.0.5,192.168.0.10
1554643282.802523268,192.168.0.10,192.168.0.5
1554643282.809637556,192.168.0.5,192.168.0.10
1554643282.829140544,192.168.0.10,192.168.0.5
1554643282.832865596,192.168.0.5,192.168.0.10
1554643282.867109721,192.168.0.10,192.168.0.5
1554643282.870668052,192.168.0.5,192.168.0.10
1554643282.877901699,192.168.0.10,192.168.0.5
1554643282.879915045,192.168.0.5,192.168.0.10
1554643282.886205106,192.168.0.10,192.168.0.5
1554643282.889969200,192.168.0.5,192.168.0.10
1554643288.502273497,192.168.0.10,192.168.0.5
1554643288.502496153,192.168.0.5,192.168.0.10
1554643288.505320762,192.168.0.10,192.168.0.5
1554643288.512017593,192.168.0.5,192.168.0.10
1554643288.515048191,192.168.0.10,192.168.0.5
1554643288.518419612,192.168.0.5,192.168.0.10
1554643288.521102520,192.168.0.10,192.168.0.5
1554643288.523955212,192.168.0.5,192.168.0.10
1554643288.523983704,192.168.0.10,192.168.0.5
1554643288.525904392,192.168.0.5,192.168.0.10
1554643288.528377712,192.168.0.10,192.168.0.5
1554643288.531529599,192.168.0.5,192.168.0.10
1554643294.572376880,192.168.0.10,192.168.0.5
1554643294.572638411,192.168.0.5,192.168.0.10
1554643294.575281900,192.168.0.10,192.168.0.5
1554643294.581936888,192.168.0.5,192.168.0.10
1554643294.591663328,192.168.0.10,192.168.0.5
1554643294.595025182,192.168.0.5,192.168.0.10
1554643294.595816630,192.168.0.10,192.168.0.5
1554643294.598305143,192.168.0.10,192.168.0.5
1554643294.598717604,192.168.0.5,192.168.0.10
1554643294.600130180,192.168.0.5,192.168.0.10
1554643294.602708597,192.168.0.10,192.168.0.5
1554643294.605764337,192.168.0.5,192.168.0.10
1554643300.572102367,192.168.0.10,192.168.0.5
1554643300.572292274,192.168.0.5,192.168.0.10
1554643300.577847462,192.168.0.10,192.168.0.5
1554643300.584439918,192.168.0.5,192.168.0.10
1554643300.587696813,192.168.0.10,192.168.0.5
1554643300.590883348,192.168.0.5,192.168.0.10
1554643300.591171958,192.168.0.10,192.168.0.5
1554643300.591935539,192.168.0.10,192.168.0.5
1554643300.593889513,192.168.0.5,192.168.0.10
1554643300.594185413,192.168.0.5,192.168.0.10
1554643300.596800398,192.168.0.10,192.168.0.5
1554643300.599907387,192.168.0.5,192.168.0.10
